loss_pol_surr,EpThisIter,ev_tdlam_before,loss_kl,loss_pol_entpen,TimestepsSoFar,loss_ent,EpRewMean,EpLenMean,loss_vf_loss,EpisodesSoFar,TimeElapsed
-0.00745295,2,0.00727725028992,0.00835394,0.0,419483,0.887562,993.84,993.84,63.8946,1156,329.8146276473999
-0.0058843,2,-0.0119670629501,0.0113046,0.0,421483,0.892473,993.84,993.84,68.7477,1158,331.40765261650085
-0.00889619,2,0.00522649288177,0.00698896,0.0,423483,0.880187,993.84,993.84,67.9011,1160,333.0779242515564
-0.0074725,2,-0.00986838340759,0.00890143,0.0,425483,0.896788,993.84,993.84,68.8122,1162,334.68729424476624
-0.00816016,2,-0.00692665576935,0.00758672,0.0,427483,0.905712,993.84,993.84,68.5802,1164,336.28103947639465
-0.00758171,2,-0.00324261188507,0.00921146,0.0,429483,0.9067,995.54,995.54,68.5622,1166,337.89040875434875
-0.00855171,2,0.000532925128937,0.0126557,0.0,431483,0.92894,1000.0,1000.0,68.4533,1168,339.49977850914
-0.00851083,2,-0.00188231468201,0.00762118,0.0,433483,0.919704,1000.0,1000.0,68.557,1170,341.10914969444275
-0.00535981,2,-0.00225448608398,0.0053159,0.0,435483,0.948559,1000.0,1000.0,68.5525,1172,342.70289516448975
-0.00487305,2,-0.000357866287231,0.00761247,0.0,437483,0.946572,1000.0,1000.0,68.5909,1174,344.31226444244385
-0.00544863,2,8.82744789124e-05,0.00958082,0.0,439483,0.940681,1000.0,1000.0,68.5361,1176,345.9216341972351
-0.00957435,2,-0.000312089920044,0.0117327,0.0,441483,0.921738,1000.0,1000.0,68.5582,1178,347.5153794288635
-0.00782096,2,0.000187158584595,0.0077688,0.0,443483,0.945282,1000.0,1000.0,68.542,1180,349.109126329422
-0.0065297,2,5.47170639038e-05,0.00969972,0.0,445483,0.924776,1000.0,1000.0,68.5931,1182,350.717120885849
-0.00519182,3,1.49011611938e-06,0.00605056,0.0,448483,0.913938,1000.0,1000.0,98.7059,1185,352.31247425079346
-0.00446142,2,-3.37362289429e-05,0.00844153,0.0,450483,0.921241,1000.0,1000.0,67.9066,1187,353.92184472084045
-0.00692959,2,-6.85453414917e-05,0.0110283,0.0,452483,0.922675,1000.0,1000.0,68.053,1189,355.5312144756317
-0.00677845,2,-0.000420331954956,0.00676668,0.0,454483,0.940392,1000.0,1000.0,68.109,1191,357.1249601840973
-0.00699319,2,-0.000194311141968,0.00905305,0.0,456483,0.95186,1000.0,1000.0,68.1762,1193,358.8124556541443
-0.00754941,2,-9.28640365601e-05,0.0221285,0.0,458483,0.965605,1000.0,1000.0,68.1992,1195,360.4164180755615
